ID_Proyek,Nama_Proyek,Sektor_Proyek,Status_Proyek,Durasi_Konsesi_Tahun,Nilai_Investasi_Total_IDR,Target_Dana_Tokenisasi_IDR,Persentase_Tokenisasi,Jenis_Token_Utama,Token_Risk_Level_Ordinal,Token_Ada_Jaminan_Pokok,Token_Return_Berbasis_Kinerja,Dok_Studi_Kelayakan,Dok_Laporan_Keuangan_Audit,Dok_Peringkat_Kredit,Profil_Risiko
PROJ001,Tol Trans-Sumatera Ruas Betung-Jambi,Jalan & Jembatan,Operasi,38,105000000000,12600000000,0.12,Utang,1,1,0,1,1,1,Rendah
PROJ002,Kampus Digital Universitas Terbuka,Pendidikan,Konstruksi,28,43000000000,2494000000,0.58,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ003,Jembatan Batam-Bintan,Jalan & Jembatan,Pra-Studi Kelayakan,28,26000000000,1820000000,0.7,Ekuitas,4,0,1,0,0,0,Sangat Tinggi
PROJ004,Revitalisasi Pelabuhan Belawan,Transportasi,Konstruksi,35,164000000000,34440000000,0.21,Utang,1,1,0,1,0,1,Rendah
PROJ005,RSUD Tipe C Wonosobo,Kesehatan,Operasi,23,5000000000,1650000000,0.33,Ekuitas,4,0,1,1,1,0,Menengah
PROJ006,PLTS Terapung Cirata Tahap II,Energi,Pra-Studi Kelayakan,39,11000000000,121000000,0.11,Hak Pendapatan,3,0,1,0,0,0,Sangat Tinggi
PROJ007,Pembangunan Politeknik Negeri Madura,Pendidikan,Studi Kelayakan,13,26000000000,1326000000,0.51,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ008,Jalan Lingkar Luar Semarang,Jalan & Jembatan,Operasi,14,30000000000,1020000000,0.34,Hak Pendapatan,3,0,1,1,1,0,Menengah
PROJ009,Revitalisasi SMK Teknologi Nasional,Pendidikan,Pra-Studi Kelayakan,37,18000000000,5220000000,0.29,Hak Pendapatan,3,0,1,0,0,0,Sangat Tinggi
PROJ010,Tol Gedebage-Tasikmalaya-Cilacap,Jalan & Jembatan,Pra-Studi Kelayakan,37,11000000000,1210000000,0.11,Hibrida,2,1,1,0,0,0,Sangat Tinggi
PROJ011,SPAM Regional Umbulan Pasuruan,Air & Sanitasi,Konstruksi,21,11000000000,561000000,0.51,Hibrida,2,1,1,1,0,0,Tinggi
PROJ012,Bandara Internasional Bali Utara,Transportasi,Operasi,32,1000000000,430000000,0.43,Hak Pendapatan,3,0,1,1,1,0,Menengah
PROJ013,Jaringan Air Limbah Denpasar,Air & Sanitasi,Operasi,26,1000000000,670000000,0.67,Hibrida,2,1,1,1,1,0,Tinggi
PROJ014,Asrama Mahasiswa Nusantara Surabaya,Pendidikan,Studi Kelayakan,31,1000000000,380000000,0.38,Utang,1,1,0,1,0,0,Menengah
PROJ015,Modernisasi IPA Ciliwung,Air & Sanitasi,Operasi,27,1000000000,670000000,0.67,Hak Pendapatan,3,0,1,1,0,0,Tinggi
PROJ016,RS Jantung Harapan Bangsa Extention,Kesehatan,Operasi,20,3000000000,1230000000,0.41,Hibrida,2,1,1,1,1,1,Menengah
PROJ017,Jalan Lintas Selatan Jawa Lot 3,Jalan & Jembatan,Operasi,18,3000000000,1050000000,0.35,Hibrida,2,1,1,1,1,1,Menengah
PROJ018,Pusat Layanan Kanker Terpadu Manado,Kesehatan,Pra-Studi Kelayakan,15,20000000000,4200000000,0.21,Utang,1,1,0,0,0,0,Sangat Tinggi
PROJ019,SPAM Regional Jatiluhur I,Air & Sanitasi,Operasi,32,2000000000,1320000000,0.66,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ020,Kereta Cepat Jakarta-Surabaya,Transportasi,Pra-Studi Kelayakan,15,1000000000,170000000,0.17,Ekuitas,4,0,1,0,0,0,Sangat Tinggi
PROJ021,PLT Panas Bumi Dieng Unit 2,Energi,Konstruksi,21,1000000000,240000000,0.24,Hibrida,2,1,1,1,0,0,Menengah
PROJ022,Palapa Ring Integrasi Timur,Telekomunikasi,Studi Kelayakan,18,1000000000,430000000,0.43,Ekuitas,4,0,1,1,0,0,Menengah
PROJ023,Pembangunan BTS 4G Pedalaman Papua,Telekomunikasi,Pra-Studi Kelayakan,34,50000000000,28500000000,0.57,Ekuitas,4,0,1,0,0,0,Sangat Tinggi
PROJ024,Digitalisasi Perpustakaan Nasional,Pendidikan,Studi Kelayakan,14,3000000000,1230000000,0.41,Hibrida,2,1,1,1,0,0,Menengah
PROJ025,Pembangunan Sekolah Vokasi Industri,Pendidikan,Studi Kelayakan,24,1000000000,540000000,0.54,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ026,Jaringan Fiber Optik Jawa-Bali,Telekomunikasi,Konstruksi,38,1000000000,670000000,0.67,Hibrida,2,1,1,1,0,0,Tinggi
PROJ027,Gedung Perkuliahan Terpadu ITB,Pendidikan,Studi Kelayakan,12,1000000000,690000000,0.69,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ028,IPA Kapasitas 500L/detik Pontianak,Air & Sanitasi,Studi Kelayakan,26,1000000000,490000000,0.49,Hibrida,2,1,1,1,0,0,Menengah
